held_out_battery,cohort,n_test_cycles,mae,r2_vs_own_mean,spearman_rho
B0005,RT_2A_CC_variedcutoff,165,0.007106796726679003,-0.04054178677640574,-0.08755109128309248
B0006,RT_2A_CC_variedcutoff,165,0.011958172505619685,-0.00386993693629889,0.004923463254347769
B0007,RT_2A_CC_variedcutoff,165,0.006708582121783766,-0.05137077504592402,-0.07328827505142523
B0018,RT_2A_CC_variedcutoff,129,0.013324951534488642,-0.013166855937113642,-0.035425983899821115
B0025,RT_SQWAVE_4A_variedcutoff,25,0.008132285250011364,-0.032276646022218136,-0.1392307692307692
B0026,RT_SQWAVE_4A_variedcutoff,25,0.055367291448590455,-0.0002648780270564366,0.014615384615384615
B0027,RT_SQWAVE_4A_variedcutoff,25,0.009249752695725309,-0.04171022313960937,0.09461538461538462
B0028,RT_SQWAVE_4A_variedcutoff,25,0.00725709363150313,-0.08490284002596682,-0.009999999999999998
B0029,ELEV43C_4A_CC_variedcutoff,37,0.008827119663041382,-0.06205476239913854,-0.18326220957799902
B0030,ELEV43C_4A_CC_variedcutoff,37,0.010458882035370399,-0.035971623912680384,-0.2785680417259364
B0031,ELEV43C_4A_CC_variedcutoff,37,0.010507953435855264,-0.04778601335512889,-0.10099573257467992
B0032,ELEV43C_4A_CC_variedcutoff,37,0.011218607680484941,-0.031244686084512585,0.024419155998103365
B0033,RT_CC_mixed_current,194,0.039952299064216594,0.004352033231166619,0.0655528756271238
B0034,RT_CC_mixed_current,194,0.031267363510957526,0.0026830067141895286,0.10594190809991247
B0036,RT_CC_mixed_current,194,0.018494156083202973,-0.005914618040532504,0.030091259096119947
B0038,MIXED_24_44C_multiload,44,0.0446921938278904,0.07322412197203587,-0.041437632135306546
B0039,MIXED_24_44C_multiload,44,0.06548124983516737,0.05368177411582631,0.4093023255813953
B0040,MIXED_24_44C_multiload,44,0.07451150504693699,0.03152524129341472,0.04862579281183932
B0041,COLD4C_multiload,64,0.0482634224320686,-0.004512854117362686,0.4345238095238095
B0042,COLD4C_multiload,107,0.05762556122097743,0.023635103894472986,-0.04722858990183978
B0043,COLD4C_multiload,107,0.06123164398622841,0.020029461435262408,0.2877015615509708
B0044,COLD4C_multiload,107,0.059988480965699656,0.02045197943914756,0.2267579693959521
B0045,COLD4C_1A,65,0.010720327207697023,-0.08136014033935624,0.24466783216783217
B0046,COLD4C_1A,63,0.009167306448996718,0.005116951816377058,0.10599078341013825
B0047,COLD4C_1A,63,0.010876855973400865,-0.007758209121549342,0.14991359447004607
B0048,COLD4C_1A,63,0.010726033467705584,-0.00242327969359879,0.1580741167434716
B0049,COLD4C_2A_flagged,20,0.143526507314384,-0.0017076912808478006,0.26917293233082706
B0050,COLD4C_2A_flagged,16,0.7262083091445624,-0.0016789748799412862,0.22352941176470587
B0051,COLD4C_2A_flagged,20,0.14991597609939783,-0.00432422143799438,0.2526315789473684
B0053,COLD4C_2A,52,0.027466408996293015,0.004461409671321581,0.1304533424400239
B0054,COLD4C_2A,99,0.018743993488200966,-0.00042825656234257714,-0.019332096474953618
B0055,COLD4C_2A,99,0.01833662415249284,0.010423691334581209,0.1566233766233766
B0056,COLD4C_2A,99,0.026805157421848948,0.002992395683003579,0.11804576376004948
