held_out_battery,cohort,n_test_cycles,mae,r2_vs_own_mean,spearman_rho
B0005,RT_2A_CC_variedcutoff,146,0.053876871594795844,-2.2942283573717783,-0.42661640943576307
B0006,RT_2A_CC_variedcutoff,146,0.05811353169721851,-0.753713914562296,-0.10784032082365304
B0007,RT_2A_CC_variedcutoff,146,0.05179905915498368,-3.4609954344219123,-0.4459699420627959
B0018,RT_2A_CC_variedcutoff,110,0.05638185624071865,-0.6236380794370557,0.009057097130491625
B0025,RT_SQWAVE_4A_variedcutoff,6,0.030487208289757362,-3.804270238958522,0.028571428571428574
B0026,RT_SQWAVE_4A_variedcutoff,6,0.07672971242200434,-0.23391398208755287,-0.14285714285714288
B0027,RT_SQWAVE_4A_variedcutoff,6,0.02097916916488847,-1.3839389987571025,0.6
B0028,RT_SQWAVE_4A_variedcutoff,6,0.0650810053104164,-28.95613012343757,0.2571428571428572
B0029,ELEV43C_4A_CC_variedcutoff,18,0.049022013201718936,-37.2369632647227,0.347781217750258
B0030,ELEV43C_4A_CC_variedcutoff,18,0.03758990801977072,-25.099383248557135,0.11867905056759545
B0031,ELEV43C_4A_CC_variedcutoff,18,0.0403013406976621,-25.707262196079277,-0.13106295149638802
B0032,ELEV43C_4A_CC_variedcutoff,18,0.056850003211197056,-24.72862684104477,0.3766769865841073
B0033,RT_CC_mixed_current,175,0.16553765262850897,0.0022869792979925974,0.21672413793103448
B0034,RT_CC_mixed_current,175,0.07458961346544624,-0.3965516086378389,0.27222570532915363
B0036,RT_CC_mixed_current,175,0.07915898931739451,-0.8830509107572571,-0.015452306314375282
B0038,MIXED_24_44C_multiload,25,0.2626341345523521,0.24197412282195974,0.8746153846153846
B0039,MIXED_24_44C_multiload,25,0.4045366288627831,0.5760237854075573,0.913076923076923
B0040,MIXED_24_44C_multiload,25,0.29869468174827674,0.5492357303725828,0.8453846153846154
B0041,COLD4C_multiload,45,0.5025033560093557,-0.09294243593136131,0.11620553359683794
B0042,COLD4C_multiload,89,0.6734280694454355,0.46435084079561584,0.6356996935648621
B0043,COLD4C_multiload,89,0.6639525554488048,0.4917126327204959,0.7068777664283283
B0044,COLD4C_multiload,89,0.6355232492909754,0.5025813482535354,0.7300817160367724
B0045,COLD4C_1A,48,0.03392679343436399,-0.3323942924480412,0.6984368215371254
B0046,COLD4C_1A,47,0.0501774983732787,0.07333287690635326,0.2288390379278446
B0047,COLD4C_1A,47,0.07228453635262518,-5.538474896482626e-07,0.44183626271970394
B0048,COLD4C_1A,47,0.05918793258704071,0.10044063318266039,0.5375809435707678
B0053,COLD4C_2A,33,0.047998583063769897,-0.9603977043023559,0.15307486631016046
B0054,COLD4C_2A,80,0.0309772819419316,-1.050500892729226,0.030450070323488048
B0055,COLD4C_2A,80,0.03185857625769413,-0.18628520701878282,0.5812236286919832
B0056,COLD4C_2A,80,0.04036648922575089,-0.19943954735951452,0.11347866854195969
