held_out,n_test,mae,r2_vs_global_mean,r2_vs_own_mean_oracle,spearman_rho
COLD4C_1A,269,0.08248369728683187,-48.508813294522795,-49.016790072811965,0.30059802206291564
COLD4C_2A,353,0.04226896190361133,-2.0673373458414726,-2.0673780210684463,0.005083027099271689
COLD4C_2A_flagged,64,0.2891723438678891,-0.007145695921262352,-0.01212354566239382,0.021703545142735384
COLD4C_multiload,392,0.09698472824957396,-0.5756001491878557,-0.5758125702666628,-0.26093795955826005
ELEV43C_4A_CC_variedcutoff,152,0.05780928012329837,-16.508425976558506,-17.295393612557504,0.4550349753401585
MIXED_24_44C_multiload,135,0.09741231656500116,-0.25211906698710607,-0.25625709875881886,0.2306759824786043
RT_2A_CC_variedcutoff,628,0.05573598019173981,-26.443107789015343,-26.51323015055218,-0.02705913617774006
RT_CC_mixed_current,585,0.04683092590832836,0.06562445928114646,0.06396976676887878,0.06089722493994373
RT_SQWAVE_4A_variedcutoff,104,0.06760688387853617,-1.6144366730136936,-1.6146057682159256,-0.2639022269077171
