held_out_battery,cohort,n_test_cycles,mae,r2_vs_own_mean,spearman_rho
B0005,RT_2A_CC_variedcutoff,156,0.031330281277548375,-1.2525863421974077,-0.22810450285280773
B0006,RT_2A_CC_variedcutoff,156,0.04042802734550589,-0.3199804619102311,-0.10187605696132508
B0007,RT_2A_CC_variedcutoff,156,0.02955386615776478,-1.8080618651022657,-0.3103633576203948
B0018,RT_2A_CC_variedcutoff,120,0.043065212078651646,-0.3784604703059975,-0.26755330231266056
B0025,RT_SQWAVE_4A_variedcutoff,16,0.01664359475013412,-2.3894781591784495,-0.2323529411764706
B0026,RT_SQWAVE_4A_variedcutoff,16,0.05208994913569506,-0.0933345951379021,-0.0058823529411764705
B0027,RT_SQWAVE_4A_variedcutoff,16,0.01857390938695859,-0.8937907710334825,0.4941176470588235
B0028,RT_SQWAVE_4A_variedcutoff,16,0.03526703829053854,-7.915311678889147,0.411764705882353
B0029,ELEV43C_4A_CC_variedcutoff,28,0.0197647303168944,-5.115032476791896,0.5216201423097975
B0030,ELEV43C_4A_CC_variedcutoff,28,0.015056880375868656,-3.275862080959566,0.2517788724685276
B0031,ELEV43C_4A_CC_variedcutoff,28,0.017957559226522226,-7.238886988572185,0.37055281882868085
B0032,ELEV43C_4A_CC_variedcutoff,28,0.021588988639501625,-2.031783908899317,0.46852764094143406
B0033,RT_CC_mixed_current,185,0.14316804120230506,0.02229682026582147,0.3192809218755923
B0034,RT_CC_mixed_current,185,0.0595446953002093,0.07889351685258639,0.31334862211440057
B0036,RT_CC_mixed_current,185,0.05257419214647021,-0.2757820425390336,0.08027747242333498
B0038,MIXED_24_44C_multiload,35,0.1299350945268364,0.6384008700207957,0.7896358543417367
B0039,MIXED_24_44C_multiload,35,0.3292944323030535,0.4902279635681427,0.9467787114845939
B0040,MIXED_24_44C_multiload,35,0.26284560517464384,0.49369297931311984,0.7467787114845938
B0041,COLD4C_multiload,55,0.38019025187159794,-0.052837568400653234,0.5632034632034633
B0042,COLD4C_multiload,99,0.4600378743904143,0.22101655830491362,0.2638713667285096
B0043,COLD4C_multiload,99,0.4783068718937399,0.2284366716088806,0.6494990723562151
B0044,COLD4C_multiload,99,0.46501543751284463,0.23194070026058367,0.6557204700061844
B0045,COLD4C_1A,57,0.019744370585232113,0.046417542444119775,0.6118096966554317
B0046,COLD4C_1A,55,0.04414027141987219,0.013539573026901675,0.3998556998556999
B0047,COLD4C_1A,55,0.053170652957555256,-0.01748529581544611,0.4466089466089467
B0048,COLD4C_1A,55,0.05002827548226836,0.0417322919132076,0.573809523809524
B0049,COLD4C_2A_flagged,12,0.3417158746268015,-0.05454926072904365,0.9230769230769231
B0050,COLD4C_2A_flagged,8,0.7815307933763079,-0.27551149671658526,-0.14285714285714288
B0051,COLD4C_2A_flagged,12,0.3766239854772799,-0.189776492608281,0.8531468531468532
B0053,COLD4C_2A,43,0.034387368451061905,-0.07969422810576976,0.04756871035940803
B0054,COLD4C_2A,90,0.030561549002854304,0.0064597565282527025,0.21965674774663538
B0055,COLD4C_2A,90,0.03516764708884093,0.13276369919288533,0.36466230398814664
B0056,COLD4C_2A,90,0.0451048214290442,0.031718066307000026,0.2929497468823311
