dataset,n_cohorts,n_points,n_cells,n_rows,median_lobo_r2,median_loco_r2,median_gap,worst_gap
calce_full_discharge,3,24,8.0,1310.0,0.3963268482141442,0.025389817421253347,-0.4288099210586349,-1.9635206672739498
calce_full_discharge,4,24,10.0,1579.5,0.3902098803562857,0.09087415822227682,-0.3232847297400238,-0.7338473416475445
calce_full_discharge,5,24,13.0,2020.0,0.5526305748258462,0.1319211351725177,-0.38895958084542914,-0.6634418549537514
calce_full_discharge,6,24,17.0,2950.5,0.5285582987615549,0.23001588062396544,-0.23084737973105796,-0.5272040723615922
calce_full_discharge,7,2,19.0,3220.0,0.5749348885096781,0.3090634358999215,-0.2658714526097566,-0.38062108716487464
