dataset,n_cohorts,repeat,method,n_cells,n_rows,lobo_r2,loco_r2,lobo_mae,loco_mae,gap
calce,5,1,svr_rbf,15,3000,0.8687068700645286,-0.19612116909905986,0.05455833355150412,0.14802259401121462,-1.0648280391635885
calce,5,2,age_linear,15,3000,0.15413929850303432,0.17387644122532864,0.13899200073949866,0.15269451540638315,0.01973714272229432
calce,5,2,svr_rbf,15,3000,0.8687068700645286,-0.19612116909905986,0.05455833355150412,0.14802259401121462,-1.0648280391635885
calce,5,3,age_linear,13,2600,0.07116637535445003,0.042839234818055294,0.14690051813010863,0.15805187409613228,-0.028327140536394735
calce,5,3,svr_rbf,13,2600,0.8352879077732462,-0.0761399458335057,0.07727187769384043,0.2561317262337621,-0.9114278536067519
calce,5,4,age_linear,13,2600,0.07116637535445003,0.042839234818055294,0.14690051813010863,0.15805187409613228,-0.028327140536394735
calce,5,4,svr_rbf,13,2600,0.8352879077732462,-0.0761399458335057,0.07727187769384043,0.2561317262337621,-0.9114278536067519
calce,5,5,age_linear,14,2800,0.12662993869118655,0.07576490125491164,0.15240009926259573,0.15988130510582718,-0.05086503743627491
calce,5,5,svr_rbf,14,2800,0.8706403511844458,0.17204314423263278,0.05768344761755795,0.16930711516427252,-0.698597206951813
calce,5,6,age_linear,13,2600,0.2319382065617268,0.11821373856185413,0.12303145154961811,0.14864049499569526,-0.11372446799987268
calce,5,6,svr_rbf,13,2600,0.8195446804693475,-0.21765598288121057,0.06544579914645582,0.26749497768624936,-1.037200663350558
calce,5,7,age_linear,13,2600,0.2319382065617268,0.11821373856185413,0.12303145154961811,0.14864049499569526,-0.11372446799987268
calce,5,7,svr_rbf,13,2600,0.8195446804693475,-0.21765598288121057,0.06544579914645582,0.26749497768624936,-1.037200663350558
calce,5,8,age_linear,13,2600,0.07116637535445003,0.042839234818055294,0.14690051813010863,0.15805187409613228,-0.028327140536394735
