method,split,n_folds,median_coverage,mean_coverage,min_coverage,median_width,median_refusal_rate,nominal,median_shortfall,worst_shortfall,fraction_below_nominal,worst_group
age_linear,LOBO,32,1.0,0.9399000655307995,0.36507936507936506,1.5508375992479606,0.0,0.9,-0.09999999999999998,0.534920634920635,0.125,B0041
age_linear,LOCO,9,1.0,0.9481798037353593,0.541025641025641,0.5046665936547444,0.0,0.9,-0.09999999999999998,0.35897435897435903,0.1111111111111111,COLD4C_multiload
elasticnet,LOBO,32,0.9701492537313433,0.8993671596927104,0.0,0.3872576202422111,0.0,0.9,-0.07014925373134329,0.9,0.1875,B0045
elasticnet,LOCO,9,0.8238636363636364,0.7795166412248056,0.2619047619047619,0.39906599467467246,0.0,0.9,0.07613636363636367,0.638095238095238,0.5555555555555556,COLD4C_2A_flagged
