method,cohort,n_cells,n_rows,r2_raw,r2_oracle,oracle_gain,oracle_offset,spearman,r2_k1,r2_k1_sd,r2_k2,r2_k2_sd,r2_k3,r2_k3_sd
age_linear,CS2_Type1,2,994,0.7258859604258783,0.8922309874377705,1.8842641203875918,-0.8192817918525847,0.957208635978383,0.8889958972641756,0.0050534330838475595,,,,
age_linear,CS2_Type2,4,2325,0.6598863436028772,0.8396519361692796,1.5352776882330315,-0.5070555999474246,0.9343360585400426,0.8210537511067505,0.0167847643794814,0.8375716872945205,0.011966030469297964,0.8403366163585341,0.02096716438470957
age_linear,CS2_Type3,2,699,0.19871702612468378,0.6964421729313635,2.461047340499113,-1.4047277926354214,0.8410418066358197,0.6648412541721062,0.024925235004787563,,,,
age_linear,CS2_Type4,1,77,0.689963806088261,0.9695937655747705,8.780727669449137,-7.512729543554857,0.9407349476314901,,,,,,
age_linear,CS2_Type6,2,81,-1.8571329542078643,0.5295179746515966,16.455569602920352,-15.062675290641586,0.7827516063507214,0.4504352315310161,0.013469018432753705,,,,
age_linear,CX2_Type1,3,2855,-0.14688513127625868,0.6948463554030331,0.6936188730546922,0.3142467959695445,0.8568500348384969,0.11494504911603128,0.2633230285352697,0.4604580333733262,0.42140755754367537,,
age_linear,CX2_Type2,4,2919,0.7558511716546401,0.9211788043912944,1.5624733681361016,-0.525550793524705,0.9630552502692885,0.9096290244411434,0.006542703839661291,0.9148578928770847,0.012261498555465836,0.91524314311696,0.024106290550343776
elasticnet,CS2_Type1,2,994,0.6442798908310607,0.8943954648054819,2.34988968396471,-1.2519485437858224,0.9591134809280767,0.8797708128266418,0.0006712919687164545,,,,
elasticnet,CS2_Type2,4,2325,0.5793241865853362,0.8466084009749045,2.0761808080265483,-0.997706066307506,0.9370864112706894,0.8271851834567471,0.018431896504926822,0.8450020919720389,0.010619706578390087,0.8347887748607036,0.02280099194802251
elasticnet,CS2_Type3,2,699,0.174323074064606,0.726199399915987,3.2485991922348045,-2.138383235173824,0.862595415824138,0.6391092608711091,0.12315271614558629,,,,
elasticnet,CS2_Type4,1,77,0.6940914513569382,0.9857795051780645,11.080963815210907,-9.600786323580733,0.9429696285662675,,,,,,
elasticnet,CS2_Type6,2,81,-1.852007659473271,0.5649436373814685,18.202785259039885,-16.754316760285697,0.8223962420876451,0.5288316196359693,0.07707776660452637,,,,
elasticnet,CX2_Type1,3,2855,-0.171271858361298,0.6813751918956825,0.6942464556390264,0.31405880596529545,0.8499389840826557,0.06174813387910275,0.2936406037115403,0.12728805186099623,0.6294235317189704,,
elasticnet,CX2_Type2,4,2919,0.6506638160975983,0.9261292698466727,2.2025437906620264,-1.0978100853398252,0.965335364231762,0.9165216352059027,0.004506873484172197,0.9184458377471033,0.011454720252365026,0.9192118769096671,0.021749544069824506
random_forest,CS2_Type1,2,994,0.745278206303168,0.8608471916607324,1.2468559661636254,-0.24845543742396484,0.9230482694476672,0.8449369787833623,0.010847697482207408,,,,
random_forest,CS2_Type2,4,2325,0.7292260760237455,0.7809351140958194,0.8292881613854772,0.1605744540347676,0.8464707896075512,0.7746292100141348,0.021233494212909976,0.7797695039599566,0.03495938117178849,0.7618954036651214,0.061214804121484195
random_forest,CS2_Type3,2,699,-0.6678685952920524,0.10769839713090101,0.2903660653109473,0.6415251087698112,0.3147052254356212,-0.01315907183248759,0.14865502158640867,,,,
random_forest,CS2_Type4,1,77,0.8013777082140798,0.9301697615491769,1.6759336387761161,-0.6751858063102631,0.9547868498035028,,,,,,
random_forest,CS2_Type6,2,81,-3.1036461377679236,0.3694680213312497,4.482519545558293,-3.5567742691573168,0.7528780736760216,0.2951019609169389,0.1111005897773165,,,,
random_forest,CX2_Type1,3,2855,0.5447633850240173,0.5994554161748369,1.3545757273023387,-0.31361218271142605,0.8613245395327435,0.5561233255447201,0.02808333370609712,0.5572136410478079,0.14773870993870988,,
random_forest,CX2_Type2,4,2919,0.7945970859011174,0.9319020379584879,1.0303074691454346,-0.0055703485690312875,0.968103820179571,0.927935442156571,0.006413754292821825,0.9272969975488481,0.011389042935660213,0.920917095326962,0.024227311874425776
xgboost,CS2_Type1,2,994,0.7766466225798024,0.7774310248001666,0.9805050977816242,0.019272804151896746,0.8781257026583655,0.7654576693886367,0.018940454541063037,,,,
xgboost,CS2_Type2,4,2325,0.7944349192061844,0.8160600350461558,1.047614223451909,-0.03604253503825809,0.9220706084074225,0.8069102368040882,0.009327060766807838,0.8160549804748399,0.018347595126964007,0.8082979027782594,0.033182147573226066
xgboost,CS2_Type3,2,699,-1.0306372950628435,0.043056965975095784,0.15091270604221563,0.7729867937766358,0.10638624038010279,-0.02807616627376014,0.06503685723706558,,,,
xgboost,CS2_Type4,1,77,0.7501058133832502,0.8195372230541638,1.2116934323910868,-0.18391901118113024,0.9005035762241224,,,,,,
xgboost,CS2_Type6,2,81,-2.99902999422231,0.4947778319095133,3.9499923403819572,-3.0262589178580064,0.7647583315363597,0.4638432175208946,0.1300332588909779,,,,
xgboost,CX2_Type1,3,2855,0.5363439093456999,0.7945268271800551,1.0251219428953318,0.008287304416341028,0.9222568673093193,0.8000377103620429,0.06670241789913557,0.7784162096206348,0.10475653098719066,,
xgboost,CX2_Type2,4,2919,0.7875810369563319,0.9686711503368436,1.0382734440604404,-0.009331374932084741,0.983810171590456,0.9619669215550353,0.005942765394115362,0.9629164199776505,0.007832876039821987,0.9674954048072637,0.0109119875787241
