method,median_r2_raw,median_r2_oracle,median_spearman,median_r2_k1,median_r2_k2,median_r2_k3
age_linear,0.6598863436028772,0.8396519361692796,0.9343360585400426,0.7429475026394283,0.8375716872945205,0.877789879737747
elasticnet,0.5793241865853362,0.8466084009749045,0.9370864112706894,0.7331472221639281,0.8450020919720389,0.8770003258851853
random_forest,0.7292260760237455,0.7809351140958194,0.8613245395327435,0.6653762677794275,0.7797695039599566,0.8414062494960417
xgboost,0.7501058133832502,0.7945268271800551,0.9005035762241224,0.7827476898753398,0.8160549804748399,0.8878966537927615
